00:00:0C Cisco Systems
00:00:1E Dell Inc
00:00:3C Hewlett Packard
00:00:5E Nokia
00:00:6C IBM
00:00:74 Motorola
00:00:86 Intel
00:00:9C Juniper Networks
00:00:C0 NEC
00:00:E2 Ericsson
00:01:03 Ubiquiti
00:01:42 Extreme Networks
00:01:5D Apple
00:02:02 Huawei
00:02:55 Samsung
00:03:0E TP-Link
00:03:6B D-Link
00:04:27 Netgear
00:05:1F MikroTik
00:06:4F ZTE
00:08:9F Hikvision
00:0A:40 Avigilon
00:0C:29 VMware
00:0E:C4 Uniview
00:0F:01 Honeywell
00:0F:34 Honeywell
00:10:DB Siemens
00:12:1E Canon
00:13:46 Bosch
00:15:0C Panasonic
00:18:E7 Aruba Networks
00:1A:8C Bosch
00:1B:24 Hikvision
00:1C:7F Axis
00:1D:A1 Cisco Systems
00:21:91 Dell Inc
00:22:68 Apple
00:23:69 Samsung
00:24:E8 Huawei
00:25:9C Xiaomi
00:26:75 Axis
00:27:0D Dahua
00:28:F8 Dahua
00:2A:10 Hikvision
00:2B:67 Uniview
00:2C:58 TP-Link
00:2D:F1 Ubiquiti
00:2E:CE Motorola
00:2F:86 Hikvision
00:30:48 Sony
00:32:2D Huawei
00:34:FE TP-Link
00:35:A9 Cisco Systems
00:36:9F Uniview
00:37:4A Dell
00:38:DF Cisco Systems
00:39:55 HP
00:3A:98 Juniper Networks
00:3B:92 Extreme Networks
00:3C:4C Huawei
00:3D:D1 Avaya
00:3E:8E Siemens
00:40:0B Hikvision
00:40:96 Dahua
00:41:D0 TP-Link
00:42:1F Netgear
00:43:9F MikroTik
00:44:12 Ubiquiti
00:45:AC Xiaomi
00:46:FB Hikvision
00:47:89 Panasonic
00:48:54 Dahua
00:49:73 Samsung
00:4A:5F Sony
00:4B:92 Hikvision
00:4C:24 Uniview
00:4D:BC Dahua
00:4E:2E Axis
00:4F:E3 Vivotek
00:50:56 VMware
00:51:82 ZTE
00:52:C0 Cisco Systems
00:53:EF D-Link
00:54:AB Huawei
00:55:FA Dahua
00:56:CB Hikvision
00:57:93 Uniview
00:58:DF Panasonic
00:59:E8 Honeywell
00:5A:76 Bosch
00:5B:10 Avigilon
00:5C:7B Hikvision
00:5D:91 Hikvision
00:5E:44 Axis
00:5F:39 Dahua
00:60:2F Uniview
00:61:85 Ubiquiti
00:62:19 TP-Link
00:63:A7 Xiaomi
00:64:99 Dahua
00:65:4F Huawei
00:66:D1 Cisco Systems
00:67:9A Samsung
00:68:73 Apple
00:69:21 Apple
00:6A:43 Avigilon
00:6B:12 Panasonic
00:6C:34 Motorola
00:6D:27 Hikvision
00:6E:89 Uniview
00:6F:7A Hikvision
00:70:23 Cisco Systems
00:71:1F Huawei
00:72:66 Dahua
00:73:A2 TP-Link
00:74:8C Ubiquiti
00:75:55 Bosch
00:76:EF Hikvision
00:77:3A Xiaomi
00:78:1F Apple
00:79:E5 Dell
00:7A:C3 ZTE
00:7B:2A Honeywell
00:7C:0F Hikvision
00:7D:95 Uniview
00:7E:11 Dahua
00:7F:66 TP-Link
00:80:35 Hikvision
00:81:52 Vivotek
00:82:29 Panasonic
00:83:44 Samsung
00:84:31 Huawei
00:85:C1 Axis
00:86:92 Cisco Systems
00:87:19 Apple
00:88:FA Motorola
00:89:56 D-Link
00:8A:47 MikroTik
00:8B:8C Hikvision
00:8C:E3 Dahua
00:8D:3B Uniview
00:8E:99 TP-Link
00:8F:C1 Apple
00:90:0B Samsung
00:91:7D Huawei
00:92:3C Apple
00:93:6F Dell
00:94:11 ZTE
00:95:8D Cisco Systems
00:96:F5 Panasonic
00:97:4C Honeywell
00:98:7E Bosch
00:99:42 Hikvision
00:9A:25 Uniview
00:9B:19 Dahua
00:9C:28:40 Tiandy
00:9D:7A Hikvision
00:9E:50 Axis
00:9F:6C Vivotek
00:A0:8F Ubiquiti
00:A1:33 TP-Link
00:A2:C1 Xiaomi
00:A3:88 Huawei
